,ID,YR,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,RACE,GENDER,C1DOB_Y,HAVING_HEALTHPLAN,FAMSIZE_,TNFI_,POVSTATUS_,REGION_,MARSTAT_KEY_,WKSUEMP_PCY_,URBAN_RURAL_,JOBSNUM_,NUMCH_,AGE_1STCHILD,EVER_IN_POVERTY,WHEN_IN_POVERTY,INCOME_,INCOME_MAX,EVER_EDU_LOAN,EDU_DEGREE,EVER_DIVORCED_,EVER_UNEMPLOYED_,HOURS_WORKED_PER_WEEK_,MAJOR_1_,MAJOR_2_,EDU_MAJOR,AMT_EDU_LOAN_,TOTAL_EDU_LOAN,CAL_YEAR_JOBS_,NET_WORTH_,EMP_STATUS_,EDU_LOAN_
22,27,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1988,Yes,4,69971,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,2,27,No,NEVER,0,17600,Yes,Bachelor of Arts Degree (BA),No,No,8,2001,-4,2001,-4,1500,2,946749,3: OUT OF LABOR FORCE,
23,28,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,20000,0: NOT IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,11,0,No children yet,No,NEVER,20000,26000,-4,High school diploma (or equivalent),Yes,No,35,-4,-4,506,-4,-4,2,4100,1: EMPLOYED,
24,29,1994,60,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,3,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,4,0,No children yet,No,NEVER,-2,85000,-4,High school diploma (or equivalent),No,Yes,44,-4,-4,-4,-4,-4,2,271700,1: EMPLOYED,
25,30,1994,58,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,5,24800,0: NOT IN POVERTY,3: SOUTH,1: 1  MARRIED,0,-5,4,3,23,Yes,ADULT ONLY,0,63797,No,High school diploma (or equivalent),No,No,-4,4901,-4,4901,-4,-4,0,-1,3: OUT OF LABOR FORCE,
26,31,1994,63,IN THE US,HISPANIC,MALE,1989,Yes,4,37000,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,10,2,25,Yes,BOTH CHILD AND ADULT,31000,46000,-4,High school diploma (or equivalent),No,Yes,40,-4,-4,-4,-4,-4,2,2000,1: EMPLOYED,
27,32,1994,57,IN OTHER COUNTRY,HISPANIC,FEMALE,No children yet,Yes,1,30000,0: NOT IN POVERTY,1: NORTHEAST,2: 2  SEPARATED,0,1: URBAN,18,0,No children yet,No,NEVER,30000,75000,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,Yes,45,1501,-4,1501,-4,10000,2,-9000,1: EMPLOYED,
28,33,1994,62,IN THE US,HISPANIC,MALE,No children yet,Yes,2,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,3,0,No children yet,Yes,ADULT ONLY,-1,4000,,Other (SPECIFY),-5,No,0,-4,-4,-4,-4,-4,2,100000,1: EMPLOYED,
29,34,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1988,Yes,5,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,15,2,29,No,NEVER,42000,279816,-4,High school diploma (or equivalent),No,No,45,9996,-4,9996,-4,-4,2,152100,1: EMPLOYED,
30,35,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,4,55030,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,2,2,26,No,NEVER,27000,27000,No,Associate/Junior College (AA),No,No,40,502,-4,502,-4,-5,2,78039,1: EMPLOYED,
31,36,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,2,52550,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,15,0,No children yet,Yes,ADULT ONLY,27300,115000,-4,High school diploma (or equivalent),Yes,No,90,-4,-4,-4,-4,-4,2,31700,1: EMPLOYED,
32,37,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,3,81500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,3,1,31,No,NEVER,0,44000,-4,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,0,946749,3: OUT OF LABOR FORCE,
33,38,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,2,69490,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,0,No children yet,No,NEVER,33490,97500,-4,High school diploma (or equivalent),No,Yes,41,-4,-4,-4,-4,-4,2,-4100,1: EMPLOYED,
34,39,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1996,Yes,2,-1,-3,3: SOUTH,1: 1  MARRIED,0,1: URBAN,13,0,37,No,NEVER,48000,90325,No,High school diploma (or equivalent),No,No,45,-4,-4,-4,-4,-4,2,-1,1: EMPLOYED,
35,40,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2003,Yes,2,-2,-3,1: NORTHEAST,3: 3  DIVORCED,0,1: URBAN,11,0,43,No,NEVER,30000,45000,Yes,Associate/Junior College (AA),Yes,Yes,60,502,-4,502,-4,329,2,120250,4: IN ACTIVE FORCES,
36,41,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2000,Yes,2,90000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,12,0,37,No,NEVER,60000,130000,No,Bachelor of Arts Degree (BA),No,Yes,58,802,-4,802,-4,-4,2,148800,1: EMPLOYED,
37,42,1994,63,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",MALE,1992,Yes,5,54619,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,5,0: RURAL,8,3,28,Yes,ADULT ONLY,32000,51000,Yes,High school diploma (or equivalent),No,No,45,506,-4,506,-4,1200,2,6300,1: EMPLOYED,
38,43,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,3,8844,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,28,1: URBAN,15,2,20,Yes,ADULT ONLY,0,6000,-4,High school diploma (or equivalent),No,Yes,-4,502,-4,502,-4,-4,0,0,2: UNEMPLOYED,
39,45,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1993,Yes,3,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,1,33,No,NEVER,20000,40000,-4,High school diploma (or equivalent),No,Yes,60,-4,-4,-4,-4,-5,2,142000,1: EMPLOYED,
40,46,1994,62,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,3,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,6,1,31,No,NEVER,36000,48000,Yes,Bachelor of Science (BS),No,No,40,1223,-4,1223,-4,7500,2,215266,3: OUT OF LABOR FORCE,
41,47,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,1,43000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,0: RURAL,7,0,No children yet,No,NEVER,43000,76000,-4,High school diploma (or equivalent),No,Yes,55,-4,-4,-4,-4,-4,2,-2000,1: EMPLOYED,
42,48,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1979,Yes,4,26500,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,4,2,20,Yes,ADULT ONLY,0,26000,No,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-5,0,1100,3: OUT OF LABOR FORCE,
43,49,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,Yes,4,57823,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,2,23,No,NEVER,23940,73000,No,Associate/Junior College (AA),No,No,49,502,-4,502,-4,-4,3,41650,1: EMPLOYED,
44,50,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1985,Yes,5,47760,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,5,3,26,Yes,ADULT ONLY,3120,55000,No,High school diploma (or equivalent),No,No,40,703,-4,703,-4,-4,2,-1,1: EMPLOYED,
45,53,1994,63,IN THE US,HISPANIC,MALE,No children yet,Yes,1,1606,1: IN POVERTY,3: SOUTH,0: 0  NEVER MARRIED,0,1: URBAN,19,0,No children yet,Yes,ADULT ONLY,0,6000,-4,High school diploma (or equivalent),No,Yes,-4,502,-4,502,-4,-4,0,-360,3: OUT OF LABOR FORCE,
46,57,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1979,Yes,2,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,20,0,20,Yes,ADULT ONLY,22000,61000,-4,High school diploma (or equivalent),Yes,Yes,40,502,-4,502,-4,-4,2,186000,1: EMPLOYED,
47,58,1994,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1981,Yes,5,79650,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,3,24,No,NEVER,33200,97000,No,"Master's Degree (MA, MBA, MS, MSW)",No,No,32,1105,-4,1105,-4,-4,2,149320,1: EMPLOYED,
48,59,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,2,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,0,No children yet,No,NEVER,29000,45200,-4,High school diploma (or equivalent),Yes,No,40,-4,-4,-4,-4,-4,2,252503,1: EMPLOYED,
49,60,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1988,Yes,3,189918,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,1,26,No,NEVER,65000,104000,No,High school diploma (or equivalent),No,No,40,-4,-4,-4,-4,-5,2,85000,1: EMPLOYED,
50,61,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,3,79349,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,14,1,30,No,NEVER,28000,65000,No,Associate/Junior College (AA),No,No,40,506,-4,501,-4,-4,2,49500,1: EMPLOYED,
51,62,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1996,Yes,2,51850,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,15,0,31,No,NEVER,27810,51000,-4,Associate/Junior College (AA),No,Yes,37,506,-4,1401,-4,-4,2,-34700,1: EMPLOYED,
52,63,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1992,Yes,4,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,2,32,No,NEVER,65000,165000,Yes,Bachelor of Science (BS),No,Yes,50,703,-4,703,-4,5000,2,122000,1: EMPLOYED,
53,66,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1992,Yes,3,-1,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,14,1,28,,,-1,25000,Yes,High school diploma (or equivalent),No,No,40,601,-4,601,-4,-4,2,-1,1: EMPLOYED,
54,67,1994,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1994,Yes,2,-1,-3,4: WEST,1: 1  MARRIED,0,1: URBAN,9,0,36,No,NEVER,101653,343830,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,Yes,65,906,-4,906,-4,13000,2,946749,1: EMPLOYED,
55,68,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,3,189918,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,14,1,30,No,NEVER,26600,62836,Yes,Bachelor of Arts Degree (BA),No,Yes,47,2204,-4,2204,-4,10000,2,946749,3: OUT OF LABOR FORCE,
56,69,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1992,Yes,3,70400,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,4,1,27,No,NEVER,40000,147000,No,"Master's Degree (MA, MBA, MS, MSW)",No,No,40,501,-4,607,-4,-4,2,385000,1: EMPLOYED,
57,70,1994,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2001,Yes,1,28000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,21,0,39,No,NEVER,27000,50000,No,Other (SPECIFY),No,Yes,44,910,-4,910,-4,18000,2,54500,1: EMPLOYED,
58,72,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,15000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,6,1: URBAN,16,0,No children yet,Yes,ADULT ONLY,15000,45000,No,Bachelor of Science (BS),No,No,47,500,-4,500,-4,-4,4,34000,1: EMPLOYED,
59,73,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,2009,Yes,1,28000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,5,1: URBAN,10,0,45,No,NEVER,28000,279816,No,"Master's Degree (MA, MBA, MS, MSW)",No,No,50,1501,-4,1501,-4,-4,3,-200,1: EMPLOYED,
60,74,1994,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,No,1,-1,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,25,0,No children yet,No,NEVER,-1,15000,Yes,Bachelor of Arts Degree (BA),No,No,70,1401,-4,1401,-4,6000,2,500,1: EMPLOYED,
61,75,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,3,91500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,18,1,32,Yes,ADULT ONLY,40000,115000,Yes,Bachelor of Arts Degree (BA),No,Yes,40,517,-4,517,-4,12000,3,50000,1: EMPLOYED,
62,76,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1997,No,1,24000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,10,0,33,Yes,ADULT ONLY,24000,70000,Yes,Associate/Junior College (AA),No,No,50,4901,-4,4901,-4,7000,2,-4000,1: EMPLOYED,
63,77,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,44400,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,7,0,No children yet,No,NEVER,43200,110000,No,"Professional Degree (MD, LLD, DDS)",No,Yes,45,833,-4,833,-4,-4,2,946749,1: EMPLOYED,
64,78,1994,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1989,Yes,4,61073,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,6,2,31,No,NEVER,0,26000,Yes,Bachelor of Science (BS),No,No,-4,1203,-4,1203,-4,6000,0,31625,3: OUT OF LABOR FORCE,
65,79,1994,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1990,Yes,5,189918,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,3,29,No,NEVER,101653,265933,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,No,45,2204,-4,2204,-4,18250,2,303000,1: EMPLOYED,
66,80,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,1,16282,0: NOT IN POVERTY,4: WEST,0: 0  NEVER MARRIED,0,1: URBAN,11,0,No children yet,Yes,ADULT ONLY,16000,32000,No,Bachelor of Science (BS),No,Yes,53,601,-4,800,-4,-4,2,16000,1: EMPLOYED,
67,81,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,1,28000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,17,0,No children yet,Yes,BOTH CHILD AND ADULT,4000,40000,No,Bachelor of Arts Degree (BA),No,Yes,60,1099,-4,1099,-4,27000,2,3500,1: EMPLOYED,
68,82,1994,58,IN OTHER COUNTRY,BLACK,MALE,1979,No,3,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,7,0,20,Yes,ADULT ONLY,0,3300,No,High school diploma (or equivalent),No,Yes,40,-4,-4,-4,-4,-5,0,-1,1: EMPLOYED,
69,83,1994,60,IN THE US,BLACK,MALE,No children yet,Yes,6,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,12,0,No children yet,,,0,6997,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,1,0,3: OUT OF LABOR FORCE,
70,84,1994,63,IN THE US,BLACK,MALE,1982,Yes,4,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,18,1: URBAN,6,0,18,Yes,ADULT ONLY,200,12000,-4,High school diploma (or equivalent),No,Yes,-4,-4,-4,-4,-4,-4,0,800,3: OUT OF LABOR FORCE,
71,85,1994,59,IN THE US,BLACK,MALE,1979,Yes,4,100,1: IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,9,0,19,Yes,ADULT ONLY,100,2600,-4,None,No,Yes,-4,-4,-4,-4,-4,-4,0,0,3: OUT OF LABOR FORCE,
72,86,1994,60,IN THE US,BLACK,FEMALE,1977,Yes,2,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,4,1,16,Yes,ADULT ONLY,-2,22000,-4,None,No,Yes,55,-4,-4,-4,-4,-4,2,-1,1: EMPLOYED,
73,87,1994,63,IN THE US,BLACK,MALE,1983,No,7,-2,-3,1: NORTHEAST,0: 0  NEVER MARRIED,36,1: URBAN,10,0,19,Yes,ADULT ONLY,2500,28000,No,High school diploma (or equivalent),No,Yes,59,-4,-4,-4,-4,-4,1,-1,1: EMPLOYED,
74,88,1994,57,IN THE US,BLACK,MALE,1982,Yes,3,41500,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,10,1,24,No,NEVER,20000,34000,No,Bachelor of Science (BS),No,Yes,40,2001,-4,2001,-4,-4,2,160250,1: EMPLOYED,
75,89,1994,59,IN OTHER COUNTRY,BLACK,FEMALE,1986,Yes,5,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,8,1,27,Yes,ADULT ONLY,39000,62000,Yes,Bachelor of Arts Degree (BA),No,No,36,2206,-4,2206,-4,8000,2,13000,1: EMPLOYED,
76,90,1994,58,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",MALE,1993,Yes,3,82000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,1,34,No,NEVER,63000,128000,Yes,Bachelor of Science (BS),No,Yes,40,599,-4,599,-4,-4,2,200600,1: EMPLOYED,
77,91,1994,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1994,Yes,3,42000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,8,1,30,No,NEVER,32000,58000,No,Bachelor of Science (BS),No,Yes,40,2000,-4,2000,-4,-4,2,74500,1: EMPLOYED,
78,92,1994,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1982,No,4,18605,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,2,19,Yes,ADULT ONLY,3500,36000,-4,High school diploma (or equivalent),No,Yes,17,-4,-4,-4,-4,-4,2,6400,2: UNEMPLOYED,
79,93,1994,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,3,34050,0: NOT IN POVERTY,2: NORTH CENTRAL,1: 1  MARRIED,0,1: URBAN,11,1,26,No,NEVER,17000,96000,-4,High school diploma (or equivalent),No,No,80,-4,-4,-4,-4,-4,3,31300,1: EMPLOYED,
